pickup point,last part
"""shahin motors  , 58 , bnp bazar agargaon water tank road , taltola , poschim kafrul""","""poschim kafrul"""
"""ena kingdom , 32 , girls school road dhanmindi""","""girls school road dhanmindi"""
"""ismail arcade,house 27,road 14/a,dhanmondi,dhaka 1209""","""dhaka 1209"""
"""house 41/ 27, road 3b , mohammadia housing limited , mohammadour""","""mohammadour"""
"""islam pharma""","""islam pharma"""
"""salam tea store , west kafrul mirpur""","""west kafrul mirpur"""
"""admiral height , h 18/3 , biri rd , west rajabazar""","""west rajabazar"""
"""dhaka technical bus stop , begum rokeya sarani , kazipara""","""kazipara"""
"""banani 132/33 kv grid substation , block i""","""block i"""
"""bangladesh bar council""","""bangladesh bar council"""
"""shohag paribagh pvt . ltd , chowdhurypara , malibagh b""","""malibagh b"""
"""hashim toweer""","""hashim toweer"""
"""intraco cng station,rd 9,block a,mirpurr 12""","""mirpurr 12"""
"""c 22, road 3 , mohanagar housing project""","""mohanagar housing project"""
"""tangail chamcham misti ghor , h 180 /d , goran sipahibag rd , goran""","""goran"""
"""monir hossain lane , gopibag, kulutola""","""kulutola"""
"""panda dumplings , hosna center , gulshan avenue""","""gulshan avenue"""
"""h ka 31,old ka 11/1,beribadh rd,nukunja 2""","""nukunja 2"""
"""a k m kniw wear ltd,dhaka aricha highway,nobinagar 1340""","""nobinagar 1340"""
"""national heart foundation hospital & research institute , mirpur 2  main rd""","""mirpur 2  main rd"""
"""bagan bari goli , rayer bazar""","""rayer bazar"""
"""kpmlapur railway station dhaka""","""kpmlapur railway station dhaka"""
"""pingus kitchen , sky view garden , shantinagar .""","""shantinagar ."""
"""national board of revenue , shyamoli rd , agargaon""","""agargaon"""
"""barishal general store , girl's school rd , west archipur, moinartek""","""moinartek"""
"""moszid a khana baba faridouri , justice syed mahmub morshed avenue , taltola  , sher  e bangla  nagar""","""sher  e bangla  nagar"""
"""dhaka airport railway station , dhaka mymensigh highway""","""dhaka mymensigh highway"""
"""combined military hospital ( cmh) , shahid sarani , dhaka canmtonment""","""dhaka canmtonment"""
"""lets eat , basundhara r/ a""","""basundhara r/ a"""
"""492,shapla sharani,mukti housing,pashchim kafrul""","""pashchim kafrul"""
"""brb hospital""","""brb hospital"""
"""b 4,ramna estate complex,124,boro mogbazar,dhaka 1217""","""dhaka 1217"""
"""ashraf 4a house 19,rd 7,sector 10 uttara""","""sector 10 uttara"""
"""esha villa , ta 118/2 , cumilla para , middle badda , dhaka .""","""dhaka ."""
"""mitali confectionary , hindu temple rd , shakhari bazar""","""shakhari bazar"""
"""tsc circle""","""tsc circle"""
"""siyam tyre battery , tongi kaliganj highway , west archipur , mpinartek""","""mpinartek"""
"""uttara medicine""","""uttara medicine"""
"""upazila health complex,keraniganj kholamora konakhola rd,bharalia""","""bharalia"""
"""duniya , 10 , mitali housing spciety , south kafrul , paschim kafrul""","""paschim kafrul"""
"""62 park road,rebecca apartmentss,apt 7""","""apt 7"""
"""house 292 road 4,dohs basundhara""","""dohs basundhara"""
"""house 90b,hatembag road,east rayer bazar""","""east rayer bazar"""
"""nishdish nasta ghor,h 8/c,girda urdu rd,bakshi bazar""","""bakshi bazar"""
"""phoenix building , h 407, station rd""","""station rd"""
"""tapout fitness""","""tapout fitness"""
"""mohammad abdul kashem , 187 , i block road 9 , bashunmdhara r/a""","""bashunmdhara r/a"""
"""embasssy of the united states of america,madani ave,bvaridhara""","""bvaridhara"""
"""h 3,rd 2merul badda""","""rd 2merul badda"""
"""alfresco tejgaon""","""alfresco tejgaon"""
"""kawla bus stop kawla""","""kawla bus stop kawla"""
"""house 7 , road 29 , sector 7 , uttara model town""","""uttara model town"""
"""mugda para police station""","""mugda para police station"""
"""redical hospital,shah makdum ave,sector 12""","""sector 12"""
"""bakur math , north jatrabari""","""north jatrabari"""
"""bank alfalah atm , gulshan 2 gulshan""","""gulshan 2 gulshan"""
"""dhanmondi hoqurs market""","""dhanmondi hoqurs market"""
"""smell 1 , road 7 , block e, shajahanpur""","""shajahanpur"""
"""new dhansiri restaurant - gulshan 2, road 46 , gulshan 2 , ghulshan""","""ghulshan"""
"""bangladesh  - china friendship exhibition , sector 4 , purbachal""","""purbachal"""
"""berlin foods , dncc market , gulshan -1""","""gulshan -1"""
"""mezbandari,joynab ali sarak,basundhara road""","""basundhara road"""
"""faridabad high school,faridabad ln,gandaria""","""gandaria"""
"""h 13/2, kalachandpur main rd  kalachandpur""","""kalachandpur main rd  kalachandpur"""
"""shwapno , lake city rd""","""lake city rd"""
"""brac pollu 2,azampur uttara dhaka.dewanpara""","""azampur uttara dhaka.dewanpara"""
"""nabilas premimum kitchen , dhonia , shoniakhra""","""shoniakhra"""
"""sorwardi hospital""","""sorwardi hospital"""
"""sukonna tower""","""sukonna tower"""
"""bashtola foot over bridge""","""bashtola foot over bridge"""
"""foodspire""","""foodspire"""
"""pizza xpeart dhanmondi , sukrabad , dhaka 1207""","""dhaka 1207"""
"""eastern plaza shopping complex , shantinagar rd""","""shantinagar rd"""
"""dhaka community medical college and hospital , boro mogbazar""","""boro mogbazar"""
"""prottasha kindar garten school , north vasantek rd , vasantek""","""vasantek"""
"""majumder's kemal atatruk avenue banani""","""majumder's kemal atatruk avenue banani"""
"""dncc police box, madani avenue baridhara , notun bazar""","""notun bazar"""
"""sheikh hayder box lane,noorbagh,babu bazar""","""babu bazar"""
"""satarkul merul rahmate noor jame mosque , madani avenue , kathalbaria badda""","""kathalbaria badda"""
"""united international university campus""","""united international university campus"""
"""sonali bank ltd , custom clearance br . new airport rd""","""custom clearance br . new airport rd"""
"""plot 1, avenue 1, block b , section 10 , mirpur , dhaka 1216 (helal diagonstic centre building )""","""dhaka 1216 (helal diagonstic centre building )"""
"""bangabandhu international conference center , begum rokeya sarani , she e bangla nagar""","""she e bangla nagar"""
"""house 37,road 1,block f,sector 1,aftabnagar""","""aftabnagar"""
"""sheltech,monihar bhaban no 8,h 154/1,gate 2 rd,monipuripara""","""monipuripara"""
"""arambagh ndc footover bridge,south kamalapur""","""south kamalapur"""
"""road 6,monsurbad housing,adabar""","""adabar"""
"""shantos hq""","""shantos hq"""
"""kaunshilor karjalay , 49 no word , dhaka uttar   s""","""dhaka uttar   s"""
"""appetina , shimanto shombar , dhanmondi 2""","""dhanmondi 2"""
"""purbp sadarpur road, ashulia , nobinagar""","""nobinagar"""
"""ahsania mission cancer & general hospital , ahsania mission rd , mirpur 14""","""mirpur 14"""
"""twenty 20 snacks""","""twenty 20 snacks"""
"""national eye hospital , mirpur  road sher e bangla nagar""","""mirpur  road sher e bangla nagar"""
"""suvastu ruchira , house # 41 rd no 9a , dhaka 1205""","""dhaka 1205"""
"""rajuk uttara model college,sector 6""","""sector 6"""
"""ahsan villa, h 113,crescent rd,katabagan""","""katabagan"""
"""rd 5, arambag r/a pallabi""","""arambag r/a pallabi"""
"""red olive restaurant , mirpur 7""","""mirpur 7"""
"""h 286, aftab uddin ahmed rd , block b , bashunmdhara r /a""","""bashunmdhara r /a"""
"""al helal jame masjid , demra narayanganj rd , shiddhirganj""","""shiddhirganj"""
"""house 14/15, road 8 , extended pallabi , mirpur 11.5""","""mirpur 11.5"""
"""h 251, h 252, 253, 254, 256 , rd 8, basdhundhara r /a""","""basdhundhara r /a"""
"""panna battery , beribadh rd , vagolpur hazaribag""","""vagolpur hazaribag"""
"""basumati real estate limited , hatirjheel , tejgaon ind .area""","""tejgaon ind .area"""
"""tongi fire station , dhaka mymensingh highway , purbo arichpur""","""purbo arichpur"""
"""nitol niloy tower nikunjo 2""","""nitol niloy tower nikunjo 2"""
"""162 post office road modhubajar dhanmondi 19""","""162 post office road modhubajar dhanmondi 19"""
"""shiyal bari circle bus stop , rupnagar""","""rupnagar"""
"""nazira bazar boro masjid , nazira bazar rd , bangla duar""","""bangla duar"""
"""100 ft goru chagoler haat,madani avenue,100 ft""","""100 ft"""
"""house 32 , road 7/c , sector 9 , uttara dhaka""","""uttara dhaka"""
"""santinibas 78 , santinibas baf officers quarter internal rd , paschim nakhalpara , sher  e bangla nagar""","""sher  e bangla nagar"""
"""bashabo  , dhaka , middle bashabo""","""middle bashabo"""
"""h 485 , rd 2, block d, bashundhara 4/a""","""bashundhara 4/a"""
"""abdullagpur bus stop""","""abdullagpur bus stop"""
"""alir mor rd , purbachal , west badda""","""west badda"""
"""khana- pina restaurant , panch char""","""panch char"""
"""suvastu kunjan""","""suvastu kunjan"""
"""baitul taqwa jame masjid,east maniknagar""","""east maniknagar"""
"""mad chicken""","""mad chicken"""
"""shopno neer 6,mitali housing society,south kafrul""","""south kafrul"""
"""farhana sharmin , block l , bashundharab r/a""","""bashundharab r/a"""
"""farid market kacha bazar,uttara azampur""","""uttara azampur"""
"""hungry treat""","""hungry treat"""
"""banani skatepark,block k""","""block k"""
"""tejgaon industrial area police station,shahid tajuddin ahmed ave,tejgao i/a""","""tejgao i/a"""
"""sanmar tower 2""","""sanmar tower 2"""
"""radiant khanika,h 17,rd 9,purba goran""","""purba goran"""
"""kawlar fish market,dakkhinkhan""","""dakkhinkhan"""
"""anex tower,talertek rd""","""talertek rd"""
"""road 3a,sector 5""","""sector 5"""
"""radio colony bus stop , dhaka aricha highway , savar union""","""savar union"""
"""army officers club , shahid sarani dhaka cantonment""","""shahid sarani dhaka cantonment"""
"""city bank atm , mirpur rd , dhanmondi n""","""dhanmondi n"""
"""h 15, rd 11, mohammadi housing  society mohammadpur""","""mohammadi housing  society mohammadpur"""
"""narinda police fari circle , narinda rd""","""narinda rd"""
"""ishandi sarak""","""ishandi sarak"""
"""agamasi ln jame masjid , agamasi ln circle""","""agamasi ln circle"""
"""ct health ltd ., kallyanpur , technical mor""","""technical mor"""
"""sector 13""","""sector 13"""
"""laboni 1 , house 24, road 9/a , dhanmondi 1209""","""dhanmondi 1209"""
"""probashi kallan and boideshik kormosonsthan montronalay""","""probashi kallan and boideshik kormosonsthan montronalay"""
"""jamtola bazar , bindu britto goli , east shewrapara""","""east shewrapara"""
"""primrose , 14 , road 2, mukti housing , kallayanpur""","""kallayanpur"""
"""cheese dhanmondi , west""","""west"""
"""satmasjid road uposhakha , ific bank limited""","""ific bank limited"""
"""muin mahir palace , 261/b, d block b no road , block d, bashjunmdhara r/a""","""bashjunmdhara r/a"""
"""bot -tola cyber net , khilkhet  bazar""","""khilkhet  bazar"""
"""b 101, road 2, mohanagar housing project , nuketan""","""nuketan"""
"""jisan pharma,zahir raihan sarani,dhaka medical colllege""","""dhaka medical colllege"""
"""modonpur union parishad,bandar""","""bandar"""
"""catering service tehari ghar(sobhanbag)""","""catering service tehari ghar(sobhanbag)"""
"""cresent lake , lake road , sangshad bhaban""","""sangshad bhaban"""
"""topclean factory , industrial area tejgaon""","""industrial area tejgaon"""
"""golden info systems, ltd , sector 13 uttara""","""sector 13 uttara"""
"""ahsania mission cancer and general hospital""","""ahsania mission cancer and general hospital"""
"""muntaha shoe store , battery ghat rd , kamrangirchar""","""kamrangirchar"""
"""rasel varietise store , sher e bangla link road , masdair""","""masdair"""
"""bosila bus stop , saheed budhijibi bridge , bosila""","""bosila"""
"""bhai bhai hair style saloon , sector""","""sector"""
"""asif's den , sector 12 . uttara""","""sector 12 . uttara"""
"""manha ibrahim home . house 117 , 119 , ranavola avenue . sector 10 , uttara 1230. dhaka .""","""uttara 1230. dhaka ."""
"""road 1 sector 1 block f house 28 aftabnagar""","""road 1 sector 1 block f house 28 aftabnagar"""
"""rajuk uttara apartment project , 17c - 701, uttara - 18 , sector 18""","""sector 18"""
"""kingdom habil complex""","""kingdom habil complex"""
"""fatema bagh , 16b , east rajabazar tejgaon""","""east rajabazar tejgaon"""
"""burger king , mirpur 12 , block a""","""block a"""
"""aziz co operative bank , north brook hall rd , shyambazar""","""shyambazar"""
"""golden rice""","""golden rice"""
"""pum er goli , ahmadnagar , middle paikpara""","""middle paikpara"""
"""loknaqth pharmacy , tati bazar , kotowali""","""kotowali"""
"""kuril public toilet , bishaw road""","""bishaw road"""
"""dhanmondi 15 bus stand""","""dhanmondi 15 bus stand"""
"""hotel nandini , shukrabad , dhanmondi 32""","""dhanmondi 32"""
"""kushum kunja , 365/6/a , oli miyar rek , mukti housing , pashcim shewrapara""","""pashcim shewrapara"""
"""dhaka mymensingh , highway , kotbari bazaar , sector 9""","""sector 9"""
"""econo service bus counter , maniknagar , tt para""","""tt para"""
"""devconsultants limited ( devcon) .nikunja 2""","""devconsultants limited ( devcon) .nikunja 2"""
"""sayedabad filling station , dhaka chittagong highway , swamibag""","""swamibag"""
"""a&a ms ground , namapara , dhaka-1229""","""dhaka-1229"""
"""house 252 , rd 3 , dohs baridhara""","""dohs baridhara"""
"""metal lal pathar""","""metal lal pathar"""
"""new calcutta auto dray clenas , block d , bon""","""bon"""
"""mirpur dohs house  710 road 10 avenue 3 flat 4 a""","""mirpur dohs house  710 road 10 avenue 3 flat 4 a"""
"""habib convention center""","""habib convention center"""
"""house 86, road 13 a, block c, banani dhaka""","""banani dhaka"""
"""house - 60 , road -05, sector - 13""","""sector - 13"""
"""272/ka bnp bazar agargaon water tank road , muk""","""muk"""
"""road 2b , kotbari bazaar , sector 11""","""sector 11"""
"""city club ground , begum rokeya sarani , mirpur sare 11""","""mirpur sare 11"""
"""nitol niloy tower nikunja 2""","""nitol niloy tower nikunja 2"""
"""shobujbon noor tower, dabanol shongshod road , east rampura , hajipara , dhaka 1219""","""dhaka 1219"""
"""friends tower , west manikadi road, manjil housing , manikadi""","""manikadi"""
"""q- bistro  , bashundhara riverview , dakhin keraniganj""","""dakhin keraniganj"""
"""road no 4 , house 42 , block c , monsurabad , adabar , dhaka 1208""","""dhaka 1208"""
"""sadarghat lunch terminal , sadarghat gabtali rd""","""sadarghat gabtali rd"""
"""kabab house , taltola khilgaon""","""taltola khilgaon"""
"""advance homeo health care , zafrabad mohammadpur""","""zafrabad mohammadpur"""
"""joynagar government project , mirpur 15""","""mirpur 15"""
"""sri gondhessori sweetmeat , shibu market faitullah rd , shibu market , fatullah , narayanganj , 1401""","""1401"""
"""star burger""","""star burger"""
"""muntasir rahman fahim""","""muntasir rahman fahim"""
"""puls trading far east limited, road 50 , gulshan north ave , gulshan  2""","""gulshan  2"""
"""ma enter uttara 8 no . sector""","""ma enter uttara 8 no . sector"""
"""money gram , dhaka mawa highway , bangladesh bank colony""","""bangladesh bank colony"""
"""baruntek dhaka cantonment""","""baruntek dhaka cantonment"""
"""natun bazar foot over bridge""","""natun bazar foot over bridge"""
"""mipur dohs , rd 14 , avenue 2""","""avenue 2"""
"""bangladesh commerce bank limited , dholaykhal road , goal ghat road , dholaikhal""","""dholaikhal"""
"""jahangir nagar university""","""jahangir nagar university"""
"""h 1308, begum rokeya sarani , east monipur""","""east monipur"""
"""popular hospital dhanmondi 2""","""popular hospital dhanmondi 2"""
"""wavetouch solutions , hatirpool, kataban""","""kataban"""
"""mirpur 10, block a  , road 5 , house 6""","""house 6"""
"""crimson cup , naibhog uttara""","""naibhog uttara"""
"""burger shop dhanmondi""","""burger shop dhanmondi"""
"""kabi nazrul  college  , municipal rd , luxmibazar""","""luxmibazar"""
"""road 5a dhanmondi near medinova hospital""","""road 5a dhanmondi near medinova hospital"""
"""shobuj muchi shoe repair , agargaon mirpur""","""agargaon mirpur"""
"""azam engineering works , west dholaipar""","""west dholaipar"""
"""islam bhabon , 762/4, 60feet , mukti housing dokkhin monipur""","""mukti housing dokkhin monipur"""
"""dhaka national medical college""","""dhaka national medical college"""
"""lane 2, saecvtion 6""","""saecvtion 6"""
"""export bazar , dhaka mawa highway , shyampur""","""shyampur"""
"""agrani bank ltd , b k das rd , farashganj""","""farashganj"""
"""khaje dewan talgach hola  masjid , khaje dewan""","""khaje dewan"""
"""chowdhury palace , 07, pllabi mirpur 12""","""pllabi mirpur 12"""
"""delta health care , jatrabari limited , west dholairpar""","""west dholairpar"""
"""gaur mandir ( rishipara ) , dayaganj rd , awamibag""","""awamibag"""
"""adamjee epz water treatment plant, rd 4 , adamjee , shiddhirganj , narayanganj , 1430""","""1430"""
"""bibek ashrom , sostapur , fatullah""","""fatullah"""
"""ibn sina diagnostic & consultation center , jatrabari , bibir bagicha""","""bibir bagicha"""
"""sraboni building , lake city concord , khilkhet , dhaka , 1229""","""1229"""
"""baitul aman chairmanbari jame masjid""","""baitul aman chairmanbari jame masjid"""
"""kidney foundation hospital & research institute""","""kidney foundation hospital & research institute"""
"""united house""","""united house"""
"""mim store & restaurant,south doriapur""","""south doriapur"""
"""117,108/5,north peerbug,mukti housing,paschim shewrapara""","""paschim shewrapara"""
"""avong clothing,north shahjahanpur""","""north shahjahanpur"""
"""sneher neer,560,60 feet,mukti housing,dokkhin moniour""","""dokkhin moniour"""
"""maati properties house 1/g,not in map""","""not in map"""
"""the sky traders pri. ltd""","""the sky traders pri. ltd"""
"""jahangirnagar university""","""jahangirnagar university"""
"""madani shop , matuail jatrabari""","""matuail jatrabari"""
"""137, west monipur , senpara parbata , paschim , monipur""","""monipur"""
"""the food company -narayanganj , bangabandhu sarak , chashara""","""chashara"""
"""patla khan lane,gopibag,shingtola""","""shingtola"""
"""kudos uttara , sector 14""","""sector 14"""
"""reckitt benckiser officical store jatrabari""","""reckitt benckiser officical store jatrabari"""
"""bombay sweets & co ltd , north kuril""","""north kuril"""
"""bhola charshifuly,sadaghat launch terminal""","""sadaghat launch terminal"""
"""ruposhi bangla nirbahi lounge , hazrat shahjalal""","""hazrat shahjalal"""
"""ayaan  fashion , ibrahimpur , kafrul""","""kafrul"""
"""shanto's hq""","""shanto's hq"""
"""j & j fashion  shoes , police plaza , hatirjheel""","""hatirjheel"""
"""ahsan villa , h 112 , crescent rd kalabagan""","""crescent rd kalabagan"""
"""meena bazar , sector 3 uttara""","""sector 3 uttara"""
"""abdul park , h 208, culvert rd , fakieapool""","""fakieapool"""
"""islamic international school and college khilkhet branch , namapara""","""namapara"""
"""perfect helicopter  spotting flat ,adabar , mohammadpurn""","""mohammadpurn"""
"""arabi family cornar and stationari , nurer""","""nurer"""
"""hi tech hospital , south kafrul rd""","""south kafrul rd"""
"""in wrap , west dhanmondi , shankar""","""shankar"""
"""terminal 2,hazrat shahjal international airport""","""hazrat shahjal international airport"""
"""square hospital,indira road,raza bazar""","""raza bazar"""
"""asha palace,block ,bashundgara r/a""","""bashundgara r/a"""
"""shahjalal islami bank corporate head office""","""shahjalal islami bank corporate head office"""
"""impulse hospital , shahid tazuddin ahmed ave , tejgaon  industrial area""","""tejgaon  industrial area"""
"""central hearing care center , khilgaon , chowdhury para block c""","""chowdhury para block c"""
"""dbbl,atm banijjo mela rd,sher e bangla tiger""","""sher e bangla tiger"""
"""burger freak""","""burger freak"""
"""kazi ferms kitchen , mazar rd , darus  salam""","""darus  salam"""
"""shahjalal international airport domestic terminal""","""shahjalal international airport domestic terminal"""
"""shoni mandir,shankhari bazar rd""","""shankhari bazar rd"""
"""dhaka jatio chiriakhana""","""dhaka jatio chiriakhana"""
"""bsmmu""","""bsmmu"""
"""bismillah bkash point,airpor dkshinkhan road,airport dakshinkhan""","""airport dakshinkhan"""
"""sonargon hotel""","""sonargon hotel"""
"""heaven point,b 42/3,madrasa rd 1340""","""madrasa rd 1340"""
"""dimension marigold , house 22/a , road no . 03 , monsurabad""","""monsurabad"""
"""the burgery""","""the burgery"""
"""b/7, kamalapur railway station""","""kamalapur railway station"""
"""rajdhani automobile engineering workshop , beribadh rd , ramchandpur mohammadpur""","""ramchandpur mohammadpur"""
"""shaheed sohrawardi medical college & hospital , sher e bangla agricultural university rd""","""sher e bangla agricultural university rd"""
"""hazrat shahjalal international airport terminal 1, airport road , new airport road , kurmitola sector 2""","""kurmitola sector 2"""
"""rose garden , road 4a , nobody housing , mohammmadpur""","""mohammmadpur"""
"""baitul mamur jamr masjid , moddho para""","""moddho para"""
"""retina h 10 , mitford rd , mitford""","""mitford"""
"""reghional passport office dhaka east""","""reghional passport office dhaka east"""
"""tasty treat , dhupkhola , gendaria""","""gendaria"""
"""210/1, shantibagh rd , sahantibagh , malibaghj""","""malibaghj"""
"""monkey cage , zoo road , pallabi 2nd phase ( eastern housing) , block f""","""block f"""
"""rd 3 , nobodoy housing society , mohamadpur""","""mohamadpur"""
"""south gawair tetul tola mor , south gawair , ashkona""","""ashkona"""
"""bonolota house , ashiyan city , kawla""","""kawla"""
"""japan bangladesh friendship hospital""","""japan bangladesh friendship hospital"""
"""stone ride , h 41 /5, rd 1 mohammadpur""","""rd 1 mohammadpur"""
"""kazi traders , industrial area , tyejgaon""","""tyejgaon"""
"""zaytun garden restaurant , agargaon , mirpur -1""","""mirpur -1"""
"""sonargaon hotel""","""sonargaon hotel"""
"""upazila rd.1340""","""upazila rd.1340"""
"""sabuj bangla online , shyampur , jurain""","""jurain"""
"""paribagh m,asjid , motaleb tower""","""motaleb tower"""
"""h 31, rd 21 , telipara khilgaon""","""telipara khilgaon"""
"""270,shantibagh,malibaghg""","""malibaghg"""
"""harvest,218/3/a,bnp bazar,agargaon panir tank""","""agargaon panir tank"""
"""united hospital""","""united hospital"""
"""sheba.xyz house454,road 31,mohakhali dohs,ohakhali""","""ohakhali"""
"""cheese please""","""cheese please"""
"""fanrasium,gulshan avenue,gulshan 2,gulshna""","""gulshna"""
"""terminal 2,hazrat shah jalal international airport""","""hazrat shah jalal international airport"""
"""chefs table courside""","""chefs table courside"""
"""evercare hospital dhaka""","""evercare hospital dhaka"""
"""haque project rd , kadamtala rd , east basabo""","""east basabo"""
"""dhaka housing jame masjid , dhakla housing , north adabor""","""north adabor"""
"""happy vacation,dohs mirpur""","""dohs mirpur"""
"""bashundhara residential area , block k , bashunddhara r/a""","""bashunddhara r/a"""
"""ring tech ( bangladesh ) ltd .""","""ring tech ( bangladesh ) ltd ."""
"""regal em,porium rupnagar , rd 29""","""rd 29"""
"""dhaka chaka & gulshan chaka banani bus counter m kemal ataturk avenue""","""dhaka chaka & gulshan chaka banani bus counter m kemal ataturk avenue"""
"""sakai estate flat 24 , house 768 , road 23 , block f basundhara residential area""","""block f basundhara residential area"""
"""dhaka international university , permanent campus , vatara rd""","""vatara rd"""
"""ielts test center-british council at cambrian smart campus , mohammadpur ., tajmahal road""","""tajmahal road"""
"""h 16/a/10 , mirertek rd , nayatola""","""nayatola"""
"""islam villa , house 322 , rd 6 , i block , bashundhara residential area .""","""bashundhara residential area ."""
"""channel s,segun bagicha road""","""segun bagicha road"""
"""khaas food,khilgaon,chowdhury para""","""chowdhury para"""
"""dhaka shishu hospital medicine corner sayed mahbub morshed road , sher-e bangla - nagar""","""sher-e bangla - nagar"""
"""ring tech (bangladesh) ltd""","""ring tech (bangladesh) ltd"""
"""north south university (nsu)""","""north south university (nsu)"""
"""bafsd english language & literature club , baf shaheen college , jahangir gate""","""jahangir gate"""
"""institute of glass and ceramic research & testing , central road dhanmondi""","""central road dhanmondi"""
"""kazi farms kitchen,bakshi bazar,old dhaka""","""old dhaka"""
"""pakulla""","""pakulla"""
"""iport aviation ltd,shiddheswari road""","""shiddheswari road"""
"""fnf global consultancy , gul;shan 1""","""gul;shan 1"""
"""grameenphone center , hazrat shahjalal international airport , kumitola""","""kumitola"""
"""sheba  eyecon center , 60 purana paltan , sheba eyecon center , 7th floor""","""7th floor"""
"""sms agro farm sales center , north bashabo""","""north bashabo"""
"""food+ plus snacks corner , hazrat shahjalal international airport kurmitola""","""hazrat shahjalal international airport kurmitola"""
"""shanta tailors and fabrics , tongi paurashava""","""tongi paurashava"""
"""the black eagle , sarulia , demra""","""demra"""
"""star western spa , bhatulia mouza , turag""","""turag"""
"""d- water tech , block k baridhara dohs""","""block k baridhara dohs"""
"""dhaka bimanbandar , airport railway station""","""airport railway station"""
"""ispahani colony , moghbazar rd""","""moghbazar rd"""
"""house 317 road 21 mohakhali dohs""","""house 317 road 21 mohakhali dohs"""
"""shopnonagar abashik plat prokalpo 1 , mirpur 9""","""mirpur 9"""
"""bijoy rakeen city building a8 tower 2""","""bijoy rakeen city building a8 tower 2"""
"""property paragon , h 26 old , 116 , segunbagicha rd""","""segunbagicha rd"""
"""baitul aman chairman bari jame masjid""","""baitul aman chairman bari jame masjid"""
"""bismillah hotel,kb shaha road,amlapara""","""amlapara"""
"""friends business centre,h 53,honda st. tejkunipara""","""honda st. tejkunipara"""
"""gokart courtside,madani avenue,100 feet road""","""100 feet road"""
"""solponogor prokolpo,jatiyo grihayon kortripokkho""","""jatiyo grihayon kortripokkho"""
"""mirpur 10 foot over bridge,section""","""section"""
"""bivagio upo porichaloker karjaloy""","""bivagio upo porichaloker karjaloy"""
"""50,road 2,block c,bashundhara ra""","""bashundhara ra"""
"""dhanmondi 32 bus stop""","""dhanmondi 32 bus stop"""
"""m v sonar tori 2, sadarghat launch terminal""","""sadarghat launch terminal"""
"""nishorgo , block i , bnashundhara r/a""","""bnashundhara r/a"""
"""tangail pushti sweets, bimanbandar railway""","""bimanbandar railway"""
"""queens confectionery , 24 garib e newaz avenue , uttara 11""","""uttara 11"""
"""mirpur 12 bus stand""","""mirpur 12 bus stand"""
"""ishandi  sarak""","""ishandi  sarak"""
"""jatio nursing uccho shikkha & gobeshona protistha""","""jatio nursing uccho shikkha & gobeshona protistha"""
"""farha amin , mohakhali dihs""","""mohakhali dihs"""
"""block i , bashudnhjara rf/a""","""bashudnhjara rf/a"""
"""premier school dhaka mirpur branch""","""premier school dhaka mirpur branch"""
"""tea and dringkingstalls , diyabari uttara""","""diyabari uttara"""
"""little whiskers foster home , pc culture housing society , shekhertek""","""shekhertek"""
"""2,road 14 sector 3,kurmitola sector 3""","""kurmitola sector 3"""
"""aysha pharmacy , north kafrul""","""north kafrul"""
"""grey advertising banmgladesh ltd""","""grey advertising banmgladesh ltd"""
"""baitul aman chairman bari jame mashjid""","""baitul aman chairman bari jame mashjid"""
"""uttara finance and invesments limited , saector 15""","""saector 15"""
"""ascent group""","""ascent group"""
"""next generation dental center , 12, road no, 14 dhanmondi r/a""","""14 dhanmondi r/a"""
"""uttara finance and invesments limted , sector 15""","""sector 15"""
"""mom & baby , south basabo""","""south basabo"""
"""jbs shopnochura,west nandipara""","""west nandipara"""
"""bangabhaban park wasa water pump,gulistan park""","""gulistan park"""
"""skyview lounge""","""skyview lounge"""
"""rangpur confectionery , h 17 , kamal atatruk ave , ghulshan 2""","""ghulshan 2"""
"""hasan homeo hall , ja 90/1 , comilla para""","""comilla para"""
"""sonir akhra , foot over bridge""","""foot over bridge"""
"""demra staff quarter bus stop""","""demra staff quarter bus stop"""
"""dhaka railway station""","""dhaka railway station"""
"""md. sohidullah , 405/2, south paikpara , mukti housing , dpkkhin paikpara""","""dpkkhin paikpara"""
"""concord mumtaz karim heritage , house 76 , satmasjid road , shangkar""","""shangkar"""
"""339/d shonkor , jafrabad""","""jafrabad"""
"""mother fabrics & varieties , bonomala rd""","""bonomala rd"""
"""star hotel,darus salam.kallyanpur""","""darus salam.kallyanpur"""
"""yolanda,house 75,green road,kalabagan,lal fokir eer majar""","""lal fokir eer majar"""
"""mirpur dohs,avenue 3,road no 8,house no 578""","""house no 578"""
"""thirsty bird,arambagh more,toyenbee circular road""","""toyenbee circular road"""
"""khan aparajita , 13 road 2b ( new 15 ) , dhanbmondi r/a""","""dhanbmondi r/a"""
"""new parveen restaurant , shahiod tajuddin ahmed avenue , amtoli mohakhali""","""amtoli mohakhali"""
"""ayirport""","""ayirport"""
"""house 271/8,niribili housing,shankar,wst dhanmondi""","""wst dhanmondi"""
"""m/s,uttaran traders,sector 4""","""sector 4"""
"""khilkhet bus stop,new airport rpad""","""new airport rpad"""
"""bijoy rakeen city building ab tower 2""","""bijoy rakeen city building ab tower 2"""
"""sag engineeringb , dakkhinpara mohakhali""","""dakkhinpara mohakhali"""
"""sweet dream tower, h 154/a, doctor goli malibagh""","""doctor goli malibagh"""
