"location","formatted_address","latitude","longitude"
"""mirpur  road sher e bangla nagar""","Mirpur Road, Sobhanbag, Dhaka - 1207, Bangladesh","23.7612082","90.3724914"
"""dhaka 1205""","Dhaka, Dhaka District, Bangladesh","23.7643863","90.3890144"
"""sector 6""","Sector 6, Dhaka Metropolitan, Dhaka District, Bangladesh","23.8728058","90.4032722"
"""katabagan""","Bangladesh","24.0","90.0"
"""arambag r/a pallabi""","Pallabi, Bangladesh","23.825","90.37"
"""mirpur 7""","Mirpur 7, Dhaka Metropolitan, Dhaka District, Bangladesh","23.819218","90.3631469"
"""bashunmdhara r /a""","Bangladesh","24.0","90.0"
"""shiddhirganj""","Shiddhirganj, Narayanganj - 1430, Bangladesh","23.6886846","90.5101132"
"""mirpur 11.5""","Bangladesh Shishu Academy (Mirpur Branch)(বাংলাদেশ শিশু একাডেমী (মিরপুর শাখা)), ৫ 4, Mirpur 11, Dhaka - 1216, Bangladesh","23.8167491","90.3667949"
"""basdhundhara r /a""","Bangladesh","24.0","90.0"
"""vagolpur hazaribag""","Hāzāribāg, Bangladesh","23.66603","90.44659"
"""tejgaon ind .area""","Tejgaon Industrial Area, Dhaka - 1208, Bangladesh","23.7648783","90.405798"
"""purbo arichpur""","Gazipur District, Tongi - 1711, Bangladesh","23.8885075","90.4054148"
"""nitol niloy tower nikunjo 2""","Bangladesh","24.0","90.0"
"""162 post office road modhubajar dhanmondi 19""","Dhanmondi, Bangladesh","23.74","90.385"
"""rupnagar""","Lalbag, Dhaka - 1211, Bangladesh","23.7153887","90.3777396"
"""bangla duar""","Bangladesh","24.0","90.0"
"""100 ft""","Bangladesh","24.0","90.0"
"""uttara dhaka""","Uttara, Dhaka - 1231, Bangladesh","23.8693275","90.3926893"
"""sher  e bangla nagar""","Sher-E-Bangla Nagar, Dhaka - 1207, Bangladesh","23.7741959","90.3754853"
"""middle bashabo""","Bashabo, Dhaka - 1214, Bangladesh","23.7415414","90.4319335"
"""bashundhara 4/a""","Shoilo, Bashundhara City, Level 4, Block A, Shop 55, 56 Pantha Path, Panthopath, Dhaka - 1215, Bangladesh","23.7509903","90.3903274"
"""abdullagpur bus stop""","Bangladesh","24.0","90.0"
"""west badda""","Bangladesh Television, Banasree-Hatirjheel U Loop, Rampura, Dhaka - 1219, Bangladesh","23.765714","90.4230068"
"""panch char""","Madaripur District, Panch Char - 7930, Bangladesh","23.378738","90.1666831"
"""suvastu kunjan""","Bangladesh","24.0","90.0"
"""east maniknagar""","Maniknagar, Dhaka - 1203, Bangladesh","23.7236951","90.4367834"
"""mad chicken""","Bangladesh","24.0","90.0"
"""south kafrul""","Kafrul, Dhaka - 1103, Bangladesh","23.7868826","90.3858237"
"""bashundharab r/a""","Bangladesh","24.0","90.0"
"""uttara azampur""","Civil Aviation Authority of Bangladesh (CAAB), Airport Road Dhaka Mymensigh Highway, Azampur, - 1229, Bangladesh","23.8534694","90.4052682"
"""hungry treat""","Bangladesh","24.0","90.0"
"""block k""","Bashundhara Residential Area, Dhaka - 1229, Bangladesh","23.823084","90.4460936"
"""tejgao i/a""","Bangladesh","24.0","90.0"
"""sanmar tower 2""","Sanmar Tower One, CDA Avenue, Nasirabad, Chattogram - 4209, Bangladesh","22.3630854","91.8216241"
"""purba goran""","Goran, Dhaka - 1214, Bangladesh","23.7481983","90.4365253"
"""dakkhinkhan""","Bangladesh","24.0","90.0"
"""talertek rd""","Bangladesh","24.0","90.0"
"""sector 5""","Narayanganj District, Kanchon - 1461, Bangladesh","23.8377768","90.5313504"
"""savar union""","Aruna Polli Rd, Savar Union, Dhaka District, Savar - 1345, Bangladesh","23.8709016","90.2816927"
"""shahid sarani dhaka cantonment""","Dhaka Cantonment, Bangladesh","23.82444","90.40556"
"""dhanmondi n""","Dhanmondi, Dhaka - 1209, Bangladesh","23.7479124","90.3745866"
"""mohammadi housing  society mohammadpur""","Mohammadpur, Bangladesh","23.7659","90.35851"
"""narinda rd""","Narinda Road, Narinda, Dhaka - 1203, Bangladesh","23.7157988","90.4194191"
"""ishandi sarak""","Bangladesh","24.0","90.0"
"""agamasi ln circle""","Bangladesh","24.0","90.0"
"""technical mor""","Technical Mor, Dhaka-Mymensingh Highway, Mymensingh District, Mymensingh - 2200, Bangladesh","24.7385484","90.4072566"
"""sector 13""","Narayanganj District, Purbachal - 0000, Bangladesh","23.8421928","90.4806889"
"""dhanmondi 1209""","Dhanmondi, Dhaka - 1209, Bangladesh","23.7479124","90.3745866"
"""probashi kallan and boideshik kormosonsthan montronalay""","Bangladesh","24.0","90.0"
"""east shewrapara""","RSA Complex, 1359/1, East Shewrapara, Mirpur-Dhaka. Road 2, Shewrapara, Dhaka - 1216, Bangladesh","23.7921526","90.3777312"
"""kallayanpur""","Kallayanpur Khal, Dhaka, Dhaka District, Bangladesh","23.7771485","90.3620119"
"""west""","Bangladesh Television, Banasree-Hatirjheel U Loop, Rampura, Dhaka - 1219, Bangladesh","23.765714","90.4230068"
"""ific bank limited""","IFIC Bank Limited, N706, Jashore District, Benapole - 7431, Bangladesh","23.0445652","88.8996746"
"""bashjunmdhara r/a""","Bangladesh","24.0","90.0"
"""khilkhet  bazar""","Bāzār, Rangpur Division, Bangladesh","25.74442","88.49186"
"""nuketan""","Bangladesh","24.0","90.0"
"""dhaka medical colllege""","Bangladesh","24.0","90.0"
"""bandar""","Narayanganj District, Bandar - 1410, Bangladesh","23.6169828","90.5127954"
"""catering service tehari ghar(sobhanbag)""","Bangladesh","24.0","90.0"
"""sangshad bhaban""","Chatro Sangshad Bhaban, Joypara - Nikra Road, Dhaka District, Dohar - 1330, Bangladesh","23.6181507","90.12167"
"""industrial area tejgaon""","Tejgaon Industrial Area, Dhaka - 1208, Bangladesh","23.7648783","90.405798"
"""sector 13 uttara""","Uttara, Dhaka - 1231, Bangladesh","23.8713405","90.3875569"
"""ahsania mission cancer and general hospital""","Bangladesh","24.0","90.0"
"""kamrangirchar""","Kamrangirchar Model High School, Nursery road, Kamrangichor, Dhaka - 1211, Bangladesh","23.7134685","90.3672662"
"""masdair""","Purbo Masdair Playground, Sher-E-Bangla Road, Narayanganj District, Narayanganj - 1400, Bangladesh","23.6241043","90.4898473"
"""bosila""","Bosila, Dhaka - 1312, Bangladesh","23.7473392","90.345289"
"""sector""","China Bangladesh Friendship Exhibition Center, Dhaka City Bypass, Narayanganj District, Purbachal - 0000, Bangladesh","23.8426962","90.5338706"
"""sector 12 . uttara""","Uttara, Dhaka - 1231, Bangladesh","23.8716563","90.3815934"
"""uttara 1230. dhaka .""","Uttara, Dhaka - 1231, Bangladesh","23.8693275","90.3926893"
"""road 1 sector 1 block f house 28 aftabnagar""","Bangladesh","24.0","90.0"
"""sector 18""","Sector 18, Purbachal, Rupganj Upazila, Bangladesh","23.8520797","90.4996974"
"""kingdom habil complex""","Bangladesh","24.0","90.0"
"""east rajabazar tejgaon""","Japanese Universities Alumni Association in Bangladesh, East Rajabazaar, Rajabazar, Dhaka - 1215, Bangladesh","23.758096","90.3869381"
"""block a""","Moyuri, Dumuria Upazila, Bangladesh","22.8085965","89.5276868"
"""shyambazar""","68 B K Das Road, Farashganj, Dhaka - 1100, Bangladesh","23.7027796","90.4152971"
"""golden rice""","Bangladesh","24.0","90.0"
"""middle paikpara""","Paikpara, Dhaka - 1916, Bangladesh","23.7892825","90.3607154"
"""kotowali""","Amira Beauty Parlour, Alkoron Road, Kotowali, Chattogram, Huseyn Shaheed Suhrawardy Road, Chattogram District, Chattogram - 4000, Bangladesh","22.3316698","91.8343845"
"""bishaw road""","Sundorban Courier Service Pvt. Ltd., Bishaw Road Mor, Port Connecting Road, Noyabazar, Chattogram, Port Connecting Road, HaliShohor, Chattogram - 4202, Bangladesh","22.3449938","91.7874096"
"""dhanmondi 15 bus stand""","Bangladesh","24.0","90.0"
"""dhanmondi 32""","32 Laboratory road, Kathalbagan, Dhaka - 1205, Bangladesh","23.7380208","90.3859514"
"""pashcim shewrapara""","Bangladesh","24.0","90.0"
"""sector 9""","Uttara, Dhaka Metropolitan, Dhaka District, Bangladesh","23.8774447","90.3981802"
"""tt para""","Bangladesh","24.0","90.0"
"""devconsultants limited ( devcon) .nikunja 2""","Bangladesh","24.0","90.0"
"""swamibag""","Dayaganj, Dhaka - 1203, Bangladesh","23.713396","90.4235859"
"""dhaka-1229""","1229, Bangladesh","23.8515","90.403"
"""dohs baridhara""","Joar Sahara, Dhaka, Dhaka District, Bangladesh","23.8131162","90.4131292"
"""metal lal pathar""","Bangladesh","24.0","90.0"
"""bon""","Bangladesh","24.0","90.0"
"""mirpur dohs house  710 road 10 avenue 3 flat 4 a""","Bangladesh","24.0","90.0"
"""habib convention center""","Habib Convention Center, N2, Mugrakul, Tarabo - 1460, Bangladesh","23.7407764","90.5256758"
"""banani dhaka""","Campus 2, AIUB (American International University Bangladesh), House 82/B Road 4, Gulshan, Dhaka - 1213, Bangladesh","23.7947055","90.4023902"
"""sector - 13""","Narayanganj District, Purbachal - 0000, Bangladesh","23.8421928","90.4806889"
"""muk""","Naogaon Muk Badhir School, Par Naogaon, Naogaon, Naogaon, Naogaon District, Naogaon - 6500, Bangladesh","24.8084343","88.947417"
"""sector 11""","Uttara, Dhaka - 1231, Bangladesh","23.8773859","90.3904662"
"""mirpur sare 11""","Mirpur Original 10, Begum Rokeya Sharani, Mirpur, Dhaka - 1216, Bangladesh","23.8102909","90.3675265"
"""nitol niloy tower nikunja 2""","Bangladesh","24.0","90.0"
"""dhaka 1219""","Dhaka, Dhaka District, Bangladesh","23.7643863","90.3890144"
"""manikadi""","Manikdi, Dhaka - 1206, Bangladesh","23.8270857","90.3923784"
"""dakhin keraniganj""","Kerāniganj, Rājshāhi Division, Bangladesh","24.75003","88.07271"
"""dhaka 1208""","Dhaka, Dhaka District, Bangladesh","23.7643863","90.3890144"
"""sadarghat gabtali rd""","Bangladesh","24.0","90.0"
"""taltola khilgaon""","Khilgaon, Dhaka - 1219, Bangladesh","23.7512986","90.4244569"
"""zafrabad mohammadpur""","Mohammadpur, Bangladesh","23.7659","90.35851"
"""mirpur 15""","Mirpur, Dhaka - 1206, Bangladesh","23.8055413","90.3832134"
"""1401""","Narayanganj District, - 1401, Bangladesh","23.6387988","90.476484"
"""star burger""","Bangladesh","24.0","90.0"
"""muntasir rahman fahim""","Bangladesh","24.0","90.0"
"""gulshan  2""","Gulshan, Dhaka - 1212, Bangladesh","23.7947191","90.4136986"
"""ma enter uttara 8 no . sector""","Bangladesh","24.0","90.0"
"""bangladesh bank colony""","Agrabad, Chattogram - 4233, Bangladesh","22.3246164","91.80366"
"""baruntek dhaka cantonment""","Dhaka Cantonment, Bangladesh","23.82444","90.40556"
"""natun bazar foot over bridge""","Bangladesh","24.0","90.0"
"""avenue 2""","Avenue-2, Shah Ali Bagh, Dhaka - 1216, Bangladesh","23.8025577","90.3553839"
"""dholaikhal""","Narinda, Dhaka - 1100, Bangladesh","23.7102727","90.4172518"
"""jahangir nagar university""","Jahangir Nagar University, Bus stop, Dhaka - Aricha Highway, Dhaka District, - 1342, Bangladesh","23.880009","90.2730757"
"""east monipur""","PLC Bangladesh, 1012/1 Jamtola Mosjid Road, Shewrapara, Dhaka - 1206, Bangladesh","23.7940614","90.3754148"
"""popular hospital dhanmondi 2""","popular hospital, Dhanmondi 2, Jigatola, Dhaka - 1209, Bangladesh","23.7392113","90.3824483"
"""kataban""","Kataban Road, Shahbag, Dhaka - 1205, Bangladesh","23.7357932","90.3889916"
"""house 6""","house, Jamalpur, Jamalpur Sadar Upazila, Bangladesh","24.9207982","89.9626115"
"""naibhog uttara""","Uttara, Bangladesh","23.8667","90.4"
"""burger shop dhanmondi""","Dhanmondi, Bangladesh","23.74","90.385"
"""luxmibazar""","Luxmibazar Street Market, Municipal Street, Lakshmibazar, Dhaka - 1100, Bangladesh","23.7083641","90.4150807"
"""road 5a dhanmondi near medinova hospital""","","",""
"""agargaon mirpur""","SOS Childrens Villages Bangladesh, Non-governmental organization, Mirpur Road, Kallyanpur, Dhaka - 1207, Bangladesh","23.7740692","90.3669193"
"""west dholaipar""","Dolairpar KinderGarden School, 64-B, West Dholaipar wazed ali street, Dholairpar, Dhaka - 1204, Bangladesh","23.6998006","90.4330674"
"""mukti housing dokkhin monipur""","Manipur, Bangladesh","23.47172","91.0612"
"""dhaka national medical college""","Dhaka National Medical College, Johnson Road, Nawabpur, Dhaka - 1100, Bangladesh","23.7112135","90.4126736"
"""saecvtion 6""","Bangladesh","24.0","90.0"
"""shyampur""","Shyampur, Dhaka - 1236, Bangladesh","23.6855403","90.4394712"
"""farashganj""","Farashganj, Dhaka - 1204, Bangladesh","23.7031127","90.4160782"
"""khaje dewan""","Bokshibazar, Dhaka - 1211, Bangladesh","23.7199584","90.3917252"
"""pllabi mirpur 12""","Mirpur, Bangladesh","23.805","90.366"
"""west dholairpar""","Dholairpar, Dhaka - 1232, Bangladesh","23.701102","90.4337691"
"""awamibag""","Bangladesh","24.0","90.0"
"""1430""","Narayanganj District, - 1430, Bangladesh","23.6941882","90.5078083"
"""fatullah""","Fatullah, Narayanganj - 1401, Bangladesh","23.6503507","90.4757879"
"""bibir bagicha""","Bibir Bagicha No Road, Jatrabari, Dhaka - 1232, Bangladesh","23.7117679","90.4358914"
"""1229""","Dhaka District, - 1229, Bangladesh","23.8230862","90.4240933"
"""baitul aman chairmanbari jame masjid""","Bangladesh","24.0","90.0"
"""kidney foundation hospital & research institute""","Bangladesh Kidney Foundation Hospital and Research Institute, Mirpur 10 Road, Borobagh, Dhaka - 1216, Bangladesh","23.8025848","90.3602833"
"""united house""","Bangladesh","24.0","90.0"
"""south doriapur""","Bangladesh","24.0","90.0"
"""paschim shewrapara""","Bangladesh","24.0","90.0"
"""north shahjahanpur""","Shahjahanpur, Dhaka - 1217, Bangladesh","23.7438047","90.4247848"
"""dokkhin moniour""","Bangladesh","24.0","90.0"
"""not in map""","Bangladesh","24.0","90.0"
"""the sky traders pri. ltd""","Bangladesh","24.0","90.0"
"""jahangirnagar university""","Jahangirnagar University, VC Lane, Bishmile, - 1342, Bangladesh","23.8821271","90.2669735"
"""matuail jatrabari""","Matuail Sub Post Office, Dhaka - Demra Highway, Kajla, Dhaka - 1362, Bangladesh","23.7126985","90.4525271"
"""monipur""","Chandpur District, Monipur - 3600, Bangladesh","23.1597459","90.6443257"
"""chashara""","uttor Chashara, Narayanganj District, Narayanganj - 1400, Bangladesh","23.6258395","90.5008939"
"""shingtola""","Sutrapur, Dhaka - 1204, Bangladesh","23.7067735","90.4167282"
"""sector 14""","Uttara, Dhaka - 1231, Bangladesh","23.8671966","90.3894678"
"""reckitt benckiser officical store jatrabari""","Jātrābāri, Bangladesh","24.98797","90.90801"
"""north kuril""","Bangladesh","24.0","90.0"
"""sadaghat launch terminal""","Bangladesh","24.0","90.0"
"""hazrat shahjalal""","Hazrat Shahjalal (R:) Jame Masjid, Dorgah Mohollah Road, Sylhet District, Sylhet - 3100, Bangladesh","24.9020721","91.8660181"
"""kafrul""","Kafrul, Dhaka - 1103, Bangladesh","23.7891719","90.3863131"
"""shanto's hq""","Bangladesh","24.0","90.0"
"""hatirjheel""","Bangladesh","24.0","90.0"
"""crescent rd kalabagan""","Bangladesh","24.0","90.0"
"""sector 3 uttara""","Uttara, Dhaka - 1276, Bangladesh","23.8641802","90.3961525"
"""fakieapool""","Bangladesh","24.0","90.0"
"""namapara""","Matikata, Dhaka - 1206, Bangladesh","23.822198","90.3883658"
"""mohammadpurn""","Bangladesh","24.0","90.0"
"""nurer""","Nurer Chala, Dhaka - 1212, Bangladesh","23.7957069","90.4331606"
"""south kafrul rd""","Kafrul, Dhaka - 1103, Bangladesh","23.7868826","90.3858237"
"""shankar""","Dhanmondi, Dhaka - 1207, Bangladesh","23.7483109","90.3660743"
"""hazrat shahjal international airport""","Bangladesh","24.0","90.0"
"""raza bazar""","Raza Bazaar Road, Rajabazar, Dhaka - 1215, Bangladesh","23.7534735","90.3864399"
"""bashundgara r/a""","Bangladesh","24.0","90.0"
"""shahjalal islami bank corporate head office""","Bangladesh","24.0","90.0"
"""tejgaon  industrial area""","Tejgaon Industrial Area, Dhaka - 1208, Bangladesh","23.7648783","90.405798"
"""chowdhury para block c""","Bangladesh","24.0","90.0"
"""sher e bangla tiger""","Bangladesh","24.0","90.0"
"""burger freak""","Bangladesh","24.0","90.0"
"""darus  salam""","Mirpur, Dhaka - 1916, Bangladesh","23.7780349","90.3549041"
"""shahjalal international airport domestic terminal""","Shahjalal International Airport Domestic Terminal, VVIP Terminal Entrance, Dhaka District, Dhaka - 1230, Bangladesh","23.8464912","90.4064532"
"""shankhari bazar rd""","Bangladesh","24.0","90.0"
"""dhaka jatio chiriakhana""","Bangladesh","24.0","90.0"
"""bsmmu""","Super Specialized Hospital, BSMMU, Kazi Nazrul Islam Avenue, Shahbag, Dhaka - 1234, Bangladesh","23.7405122","90.3952213"
"""airport dakshinkhan""","Bangladesh","24.0","90.0"
"""sonargon hotel""","Bangladesh","24.0","90.0"
"""madrasa rd 1340""","Madrasa Road, Puran Bazar, Chandpur - 3601, Bangladesh","23.2315157","90.64727"
"""monsurabad""","Adabar, Dhaka - 1916, Bangladesh","23.7750443","90.3513021"
"""the burgery""","Bangladesh","24.0","90.0"
"""kamalapur railway station""","Kamalapur Railway Station, Outer Circular Road, Kamalapur, Dhaka - 1203, Bangladesh","23.7305398","90.4268579"
"""ramchandpur mohammadpur""","Mohammadpur, Bangladesh","23.7659","90.35851"
"""sher e bangla agricultural university rd""","Bangladesh","24.0","90.0"
"""kurmitola sector 2""","Kurmitola, Dhaka - 1229, Bangladesh","23.8251851","90.4057949"
"""mohammmadpur""","Bangladesh","24.0","90.0"
"""moddho para""","Adachaki Moddho Para Road, Sirajganj District, Vanggabari - 6740, Bangladesh","24.3222155","89.6719713"
"""mitford""","Mitford Road, Chawkbazar, Dhaka - 1100, Bangladesh","23.7147375","90.3971328"
"""reghional passport office dhaka east""","Bangladesh","24.0","90.0"
"""gendaria""","Gendaria, Dhaka - 1204, Bangladesh","23.7011711","90.4262398"
"""malibaghj""","Bangladesh","24.0","90.0"
"""block f""","Banasree, Dhaka, Dhaka District, Bangladesh","23.7611583","90.4374109"
"""mohamadpur""","Bangladesh","24.0","90.0"
"""ashkona""","Dokkhin Khan, Dhaka - 1230, Bangladesh","23.8517183","90.4188884"
"""kawla""","Dokkhin Khan, Dhaka - 1230, Bangladesh","23.8463633","90.4200063"
"""japan bangladesh friendship hospital""","Japan Bangladesh Friendship Hospital, Road 3A, Jigatola, Dhaka - 1209, Bangladesh","23.7394953","90.3750642"
"""rd 1 mohammadpur""","M A Medicine Corner, 1 Ring Road, Adabar, Dhaka - 1207, Bangladesh","23.7736406","90.3608853"
"""tyejgaon""","Bangladesh","24.0","90.0"
"""mirpur -1""","Mirpur, Dhaka - 1216, Bangladesh","23.801924","90.3523456"
"""sonargaon hotel""","Pan Pacific Sonargaon Hotel Dhaka, Kazi Nazrul Islam Avenue, Kawran Bazar, Dhaka - 1215, Bangladesh","23.7495727","90.3948725"
"""upazila rd.1340""","Dohar Upazila Office, Upzila Road, Dhaka District, Dohar - 1330, Bangladesh","23.6168896","90.1223336"
"""jurain""","Jurain, Dhaka - 1204, Bangladesh","23.6953714","90.4338889"
"""motaleb tower""","Bangladesh","24.0","90.0"
"""telipara khilgaon""","Khilgaon, Bangladesh","23.75722","90.46443"
"""malibaghg""","Bangladesh","24.0","90.0"
"""agargaon panir tank""","Bangladesh","24.0","90.0"
"""united hospital""","United Hospital, plot 15 Road 71, Gulshan, Dhaka - 1212, Bangladesh","23.8048297","90.4156211"
"""ohakhali""","Bangladesh","24.0","90.0"
"""cheese please""","Bangladesh","24.0","90.0"
"""gulshna""","Bangladesh","24.0","90.0"
"""hazrat shah jalal international airport""","Hazrat Shah Jalal International Airport, New Airport Road, Dhaka District, Dhaka - 1230, Bangladesh","23.8478955","90.4052158"
"""chefs table courside""","Bangladesh","24.0","90.0"
"""evercare hospital dhaka""","Evercare Hospital Dhaka, STS Avenue, Solmaid, Dhaka - 1229, Bangladesh","23.810247","90.4312047"
"""east basabo""","Bashabo, Dhaka - 1214, Bangladesh","23.7386028","90.4372316"
"""north adabor""","স্বপ্ন টেলিকম এন্ড ইলেকট্রনিক্স, House No- 54/1, North Adabor Bazar Uttar Adabar Road, Adabar, Dhaka - 1916, Bangladesh","23.775024","90.3577652"
"""dohs mirpur""","Mirpur Cantonment, Dhaka - 1216, Bangladesh","23.8371883","90.3689834"
"""bashunddhara r/a""","Bangladesh","24.0","90.0"
"""ring tech ( bangladesh ) ltd .""","Bangladesh","24.0","90.0"
"""rd 29""","Road 29, Uttara, - 1276, Bangladesh","23.8720058","90.3983372"
"""dhaka chaka & gulshan chaka banani bus counter m kemal ataturk avenue""","Dhaka Chaka, Gulshan Ave, Gulshan, Dhaka - 1212, Bangladesh","23.793552","90.4149891"
"""block f basundhara residential area""","Bangladesh","24.0","90.0"
"""vatara rd""","Satarkul Vatara 1st Bridge, Bhatara, Dhaka - 1229, Bangladesh","23.7998305","90.4454849"
"""tajmahal road""","Tajmahal Road, Mohammadpur, Dhaka - 1207, Bangladesh","23.7633315","90.3622081"
"""nayatola""","Nayatola, Mogbazar, Dhaka - 1248, Bangladesh","23.755162","90.4066059"
"""bashundhara residential area .""","Bashundhara Residential Area, Dhaka - 1229, Bangladesh","23.8189265","90.4368229"
"""segun bagicha road""","Segun Bagicha Concord, 5 Segunbagicha Road, Segunbagicha, Dhaka - 1000, Bangladesh","23.7347782","90.4067844"
"""chowdhury para""","Chowdhury Para, Cox's Bazar District, Bangladesh","20.99767","92.2564494"
"""sher-e bangla - nagar""","Sher-E-Bangla Nagar, Dhaka - 1207, Bangladesh","23.7741959","90.3754853"
"""ring tech (bangladesh) ltd""","Bangladesh","24.0","90.0"
"""north south university (nsu)""","Bangladesh","24.0","90.0"
"""jahangir gate""","Jahangir Gate Bus stop, Old Airport Road, Nakhalpara, Dhaka - 1215, Bangladesh","23.7752606","90.3897653"
"""central road dhanmondi""","Central Road, Kathalbagan, Dhaka - 1205, Bangladesh","23.7416633","90.3876413"
"""old dhaka""","Old Dhaka-Tangail Road, Gazipur District, Kaliakair - 1750, Bangladesh","24.0692946","90.2174306"
"""pakulla""","Tangail District, Pakulla - 1945, Bangladesh","24.1414438","90.0201295"
"""shiddheswari road""","Stamford University Bangladesh, 51 Siddeshwari Road, Shiddheswari, Dhaka - 1217, Bangladesh","23.7444824","90.4083602"
"""gul;shan 1""","Gul, Chandwad Taluka, India","20.2226036","74.2477902"
"""kumitola""","Bangladesh","24.0","90.0"
"""7th floor""","London ward, Nakuru West, Kenya","-0.2864982","36.0514231"
"""north bashabo""","Bashabo, Dhaka - 1214, Bangladesh","23.7432489","90.4295"
"""hazrat shahjalal international airport kurmitola""","Hazrat Shahjalal International Airport, Terminal-3, Airport Road New Airport Road, Khilkhet, Dhaka - 1229, Bangladesh","23.8416155","90.4101005"
"""tongi paurashava""","Bangladesh","24.0","90.0"
"""demra""","Pabna District, Demra - 6650, Bangladesh","24.1392046","89.4733047"
"""turag""","Turag, Babupura, Shahbag, Dhaka - 1205, Bangladesh","23.7345451","90.3865593"
"""block k baridhara dohs""","Bangladesh","24.0","90.0"
"""airport railway station""","Bangladesh","24.0","90.0"
"""moghbazar rd""","TAJ Hotel Boro Moghbazar, Outer Circular Road, Mogbazar, Dhaka - 1217, Bangladesh","23.748598","90.404016"
"""house 317 road 21 mohakhali dohs""","Bangladesh","24.0","90.0"
"""mirpur 9""","Mirpur, Dhaka - 1216, Bangladesh","23.8320555","90.3744432"
"""bijoy rakeen city building a8 tower 2""","Bangladesh","24.0","90.0"
"""segunbagicha rd""","Bangladesh University of Engineering & Technology, Unmesh Datta Road, Bokshibazar, Dhaka - 1211, Bangladesh","23.7253034","90.3911721"
"""baitul aman chairman bari jame masjid""","Bangladesh","24.0","90.0"
"""amlapara""","Sirajganj District, Sirajganj - 6700, Bangladesh","24.4657855","89.7181285"
"""honda st. tejkunipara""","Honda Sreet, Tejgaon, Dhaka - 1215, Bangladesh","23.7620913","90.39055"
"""100 feet road""","Purbachal 300 Feet Road, Narayanganj District, Kanchon - 1461, Bangladesh","23.8342036","90.5322973"
"""jatiyo grihayon kortripokkho""","Bangladesh","24.0","90.0"
"""section""","Bangladesh Krishi Bank, Baraiyerhat-Joraganj Old Section Road, Chattogram District, Baraiyarhat - 3901, Bangladesh","22.8933377","91.5339391"
"""bivagio upo porichaloker karjaloy""","Bangladesh","24.0","90.0"
"""bashundhara ra""","Bangladesh","24.0","90.0"
"""dhanmondi 32 bus stop""","Dhanmondi 6A Bus stop, Satmasjid Road, Dhanmondi, Dhaka - 1209, Bangladesh","23.742265","90.3738997"
"""sadarghat launch terminal""","Bangladesh","24.0","90.0"
"""bnashundhara r/a""","Bangladesh","24.0","90.0"
"""bimanbandar railway""","Bangladesh","24.0","90.0"
"""uttara 11""","11, Uttara, Road 7/C - 1276, Bangladesh","23.8764435","90.4000554"
"""mirpur 12 bus stand""","Mirpur-12 Bus stand, Begum Rokeya Sharani, Mirpur, Dhaka - 1216, Bangladesh","23.8283207","90.3641049"
"""ishandi  sarak""","Bangladesh","24.0","90.0"
"""jatio nursing uccho shikkha & gobeshona protistha""","","",""
"""mohakhali dihs""","Bangladesh","24.0","90.0"
"""bashudnhjara rf/a""","Bangladesh","24.0","90.0"
"""premier school dhaka mirpur branch""","Bangladesh","24.0","90.0"
"""diyabari uttara""","Uttara, Bangladesh","23.8667","90.4"
"""shekhertek""","Adabar, Dhaka - 1207, Bangladesh","23.7704607","90.3514987"
"""kurmitola sector 3""","Kurmitola, Dhaka - 1229, Bangladesh","23.8251851","90.4057949"
"""north kafrul""","Kafrul, Dhaka - 1103, Bangladesh","23.7920858","90.3851156"
"""grey advertising banmgladesh ltd""","Bangladesh","24.0","90.0"
"""baitul aman chairman bari jame mashjid""","Bangladesh","24.0","90.0"
"""saector 15""","Bangladesh","24.0","90.0"
"""ascent group""","Ascent Group Corporate, Madani Ave, Dhaka, Embasy Road, Gulshan, Dhaka - 1212, Bangladesh","23.7970835","90.4244428"
"""14 dhanmondi r/a""","Bangladesh","24.0","90.0"
"""sector 15""","Gazipur District, - 0000, Bangladesh","23.8524767","90.4784787"
"""south basabo""","Bashabo, Dhaka - 1214, Bangladesh","23.7383875","90.4315063"
"""west nandipara""","Nandipara, Dhaka - 1214, Bangladesh","23.7485","90.4444971"
"""gulistan park""","Gulistan Park, Gulistan, Dhaka, Dhaka District, Bangladesh","23.7238986","90.4132822"
"""skyview lounge""","Bangladesh","24.0","90.0"
"""ghulshan 2""","Bangladesh","24.0","90.0"
"""comilla para""","Comilla Para Road, Gulshan, Dhaka - 1212, Bangladesh","23.7813898","90.4238333"
"""foot over bridge""","Foot Over Bridge, Mohammadpur, Dhaka - 1207, Bangladesh","23.7570663","90.3748753"
"""demra staff quarter bus stop""","Bangladesh","24.0","90.0"
"""dhaka railway station""","Dhaka Airport Railway Station, BRT Line 3, Dokkhin Khan, Dhaka - 1230, Bangladesh","23.8518203","90.4082315"
"""dpkkhin paikpara""","Pāikpāra, Chittagong, Bangladesh","22.28455","91.9809"
"""shangkar""","Bangladesh","24.0","90.0"
"""jafrabad""","Chandpur District, Jafrabad - 3601, Bangladesh","23.2112514","90.6465604"
"""bonomala rd""","Bonomala Road, Cherag Ali, Tongi - 1712, Bangladesh","23.9110886","90.4028225"
"""darus salam.kallyanpur""","Mirpur, Dhaka - 1916, Bangladesh","23.7780349","90.3549041"
"""lal fokir eer majar""","Bangladesh","24.0","90.0"
"""house no 578""","house, Jamalpur, Jamalpur Sadar Upazila, Bangladesh","24.9207982","89.9626115"
"""toyenbee circular road""","Bangladesh","24.0","90.0"
